Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,temperature_2m,precipitation,relative_humidity_2m,windspeed_10m,temp_rolling_24h,temp_diff_24h,heat_index,is_extreme_hot,is_extreme_cold,humidity_x_temp,windspeed_rolling_6h,Usage_kWh_lag_1,Usage_kWh_lag_2,Usage_kWh_lag_4,Usage_kWh_lag_96,Usage_kWh_rmean_24,Usage_kWh_rstd_24,Usage_kWh_rskew_24,Usage_kWh_rmean_48,Usage_kWh_rstd_48,Usage_kWh_rskew_48,Usage_kWh_rmean_96,Usage_kWh_rstd_96,Usage_kWh_rskew_96,NSM_sin,NSM_cos,Usage_kWh_cA_mean,Usage_kWh_cA_std,Usage_kWh_cA_energy,Usage_kWh_cA_max_abs,Usage_kWh_cD3_mean,Usage_kWh_cD3_std,Usage_kWh_cD3_energy,Usage_kWh_cD3_max_abs,Usage_kWh_cD2_mean,Usage_kWh_cD2_std,Usage_kWh_cD2_energy,Usage_kWh_cD2_max_abs,Usage_kWh_cD1_mean,Usage_kWh_cD1_std,Usage_kWh_cD1_energy,Usage_kWh_cD1_max_abs,Apparent_Power_S,Phase_Angle_Phi,anomaly_idling_score,anomaly_leakage_score,anomaly_overload_score,anomaly_max_score
18.072992,17.117077,0.0030315137,0.0023248969,0.6685243,0.99901366,4800.684,-1.6075449,0.0045716376,58.507145,17.615454,3.5072315,-1.4354408,-4.5112653,0.001011759,0.015204728,-153.25925,14.585703,6.275747,6.685418,37.587997,3.5227547,48.10451,7.8843513,0.7203641,73.106865,33.377357,-0.049909744,58.565224,29.037537,-0.36669794,0.3865357,0.94044805,216.29672,93.24027,877966.44,345.74777,-3.5052032,10.454888,985.78937,20.847412,6.0177116,21.398,15844.358,47.533985,-0.16751903,11.682641,4202.542,34.188347,19.83684,0.8261017,0.880406,0.43667257,0.36536437,0.9301458
74.70161,45.78017,0.014907639,0.03379321,0.7348263,0.99996865,32825.242,11.269612,0.0063522398,73.22726,9.557571,5.386152,3.4308658,8.091128,0.0005992651,0.0,522.4389,6.800591,49.967587,40.079967,25.961512,14.99231,43.707348,21.915855,1.5217115,42.023693,27.650082,1.9909902,32.405834,23.771442,1.616993,0.16156077,-0.11296026,84.2878,50.695305,165528.03,197.61382,-3.6248019,47.79098,35077.23,110.37433,-0.9432117,20.635595,11982.956,58.009098,-0.014743616,6.6752543,2491.484,22.712734,82.12363,0.7665418,0.49374446,0.48320022,0.06198462,0.74254227
5.405155,0.057884693,26.037144,0.0014918837,0.9998358,0.20380114,46164.355,7.4707,0.003546998,47.376183,1.0128821,-2.3396165,4.146324,6.099158,0.0004248023,0.0,-15.506225,2.256326,6.5096173,9.220201,8.516781,131.7014,22.172182,31.122807,0.17803262,25.160221,28.536114,1.4842111,71.730484,36.288788,-0.27210653,0.37534896,-0.9485377,172.37279,57.46666,444467.88,241.1769,1.0531586,19.811895,7167.2305,60.655907,-0.5378118,16.99215,6417.9814,58.25317,0.040383697,17.156776,8541.023,51.063732,6.037022,0.0022827317,0.6201412,0.7084143,9.895116e-05,0.65947866
50.28313,49.78333,0.009149542,0.020144854,0.7834595,0.99971783,9306.456,-5.116808,0.003038621,51.160957,19.822483,-3.720606,1.3051016,-5.262882,0.0010955334,0.2947979,-385.15286,14.202706,22.070124,17.538181,25.239883,20.337023,29.626698,6.9998136,1.777671,49.519268,21.579296,1.0919712,65.12872,34.63936,-0.45115072,0.89360017,0.21503165,230.98277,95.68995,824310.3,352.90097,0.08988115,14.375648,2933.1365,39.954742,-1.8097514,19.784615,12491.507,64.079216,-0.8791978,11.866822,4290.666,27.403923,65.96816,0.6195615,0.7920283,0.42338204,0.014519267,0.64704037
16.900888,11.333139,0.0041703535,0.0043114326,0.7778955,0.99981064,5632.931,-1.4619011,0.0133364,44.891727,13.857861,-3.5031283,0.92118084,-3.2780879,0.001064688,0.9755635,-228.07524,12.459867,31.471924,21.764282,69.72828,33.394554,62.256874,26.506868,0.7323613,78.03125,38.76391,-0.44352433,66.80586,44.07633,-0.32853356,-0.45218116,0.93048096,214.93777,101.97009,793382.0,373.34528,-5.3941665,32.254986,11978.767,105.562515,4.037608,29.217968,14225.445,71.53814,1.7095187,17.138254,8576.723,44.936703,21.509253,0.54726046,0.85531235,0.405914,0.0049158856,0.7639479
5.813622,0.27807707,15.993588,0.0015787515,0.9812898,0.44871864,51450.758,-7.4976707,0.01713724,22.35206,5.955612,-6.9372125,4.743924,-7.5456786,0.0012536645,0.99999875,-380.02307,13.424999,7.630891,7.9798403,5.567651,112.19636,15.600304,4.6972275,-1.7275932,17.277475,16.060654,0.86542046,18.479471,27.504988,0.9789958,-0.8303906,0.50479025,28.191063,26.293694,68863.87,66.99113,0.8682505,10.380451,511.5892,20.455715,-3.9086404,4.8994527,770.1168,17.671144,-0.46015742,0.82406116,53.951324,3.5394704,6.0705385,0.047997136,0.5716661,0.37126237,0.0011581779,0.47785747
18.329897,5.899364,0.0020034844,0.0027207963,0.83049095,0.9990694,5267.8984,-8.309333,0.00095335545,39.47407,9.619455,-5.8242397,-0.787049,-8.841101,0.0004003048,1.0,-454.19598,10.03558,9.263157,8.443957,23.794989,5.549544,34.537075,19.429464,0.12722865,62.035587,34.84174,-0.97384846,52.319954,46.18575,-0.51075274,0.7059001,0.8270522,238.16797,133.47618,1.0534505e+06,390.7602,1.7649549,11.561892,1118.2925,18.590448,2.3089955,14.16428,2485.771,24.693783,-0.52147776,18.439146,11464.93,51.869904,15.634294,0.5772366,0.71735,0.61076355,0.0055774525,0.7395153
82.66103,29.874043,0.005633536,0.040553004,0.951556,0.9999952,81381.766,-5.5876822,0.0052645146,79.47286,4.8876963,-2.787379,-4.7884903,-6.8424897,0.0009839833,0.99978256,-284.7475,6.2303395,91.127045,106.00974,99.79469,76.00881,96.157265,12.774903,-0.061443966,96.04618,33.16609,-2.2802882,66.1344,48.257088,-0.42288652,-0.9006612,0.9991944,194.93657,105.391045,651700.75,372.5439,-4.036814,40.4198,13041.674,129.87102,3.736845,26.32603,6893.7393,55.25591,1.1956041,22.156929,16406.11,58.38028,114.44921,0.14608288,0.7357689,0.76941967,0.0010966212,0.81772816
18.591085,5.079293,1.3060365,0.008788765,0.87404555,0.99244285,23757.941,-1.5094812,0.0039880336,41.271362,8.6087475,-0.35083684,-3.58886,-3.240047,0.0007081032,0.99942374,-90.47872,12.010023,33.162643,47.117172,26.932064,11.998765,18.065947,7.6118536,1.9827569,12.702927,4.547363,2.5297616,19.26568,5.8184395,2.614172,0.858364,-0.8250499,49.417957,15.336545,52500.168,77.51515,-0.39173922,3.2149508,210.92242,8.494759,-2.3584015,5.082154,1525.5753,15.8197775,-0.14406303,4.7179055,636.6148,17.166023,19.376091,0.45051113,0.387259,0.85326636,0.0006659925,0.7063591
6.1419353,0.9581611,3.13184,0.0015214238,0.8969438,0.93774146,51281.992,0.35871464,0.0041578263,64.70697,7.008635,4.4558105,0.42998642,2.2722282,0.0014664233,8.940697e-08,409.54776,10.212655,6.022836,4.313913,4.046716,57.41033,5.715116,0.7899363,1.2076789,8.360806,5.516,2.986593,21.920227,24.080359,2.0144794,0.4617202,-0.544675,35.774048,30.371256,45502.73,78.43591,-0.1763918,5.813349,486.19986,14.117586,-2.5755339,3.7060947,1029.1685,22.93332,-0.6761553,3.040565,302.34805,9.651196,6.2947197,0.34731808,0.6594828,0.718353,0.0002439022,0.7377428
8.724801,0.20566288,23.118547,0.0041028517,0.9995166,0.5957997,79559.64,1.9478923,0.0045321463,77.54134,2.1196506,-0.02783965,2.8546257,1.4339974,0.0005854964,2.4437904e-06,61.3532,3.3103027,19.616825,40.5332,24.32086,38.694218,56.129845,32.111435,0.6215056,53.180794,29.603579,-0.34577385,53.406757,31.373827,0.12065096,-0.8505742,0.79098207,118.83373,51.256927,269998.94,244.96844,-1.0861448,32.857697,19166.59,125.61141,-2.2398617,18.973625,7402.477,54.62365,-0.0382868,11.443044,5577.593,28.645735,10.998769,0.0073064743,0.3273889,0.6609687,0.00028583407,0.58707935
27.224213,19.578403,0.045465425,0.016082613,0.8130386,0.9998626,23226.611,0.18601544,0.005120069,58.52675,6.7348785,0.6757182,0.21145605,2.2332897,0.0010173619,0.53753966,-70.41233,6.269139,40.325222,31.02641,21.409555,106.36516,22.693161,23.292566,2.2094002,44.538406,31.784245,1.6066267,54.005768,32.81788,1.038034,0.54414845,0.18912186,129.62823,58.246513,377617.28,203.60387,-5.0987935,28.981424,14482.849,84.46991,0.09932315,21.753963,8131.2715,57.148876,-0.22649236,9.492148,3557.228,24.878294,38.402992,0.54845345,0.59549296,0.46508008,0.00032363087,0.58045053
