time,temperature_2m,precipitation,relative_humidity_2m,windspeed_10m
2018-01-01T00:00,-1.3,0.0,63,8.7
2018-01-01T01:00,-1.5,0.0,65,8.2
2018-01-01T02:00,-0.9,0.0,64,7.8
2018-01-01T03:00,-1.4,0.0,66,6.1
2018-01-01T04:00,-1.7,0.0,66,6.3
2018-01-01T05:00,-2.1,0.0,68,5.8
2018-01-01T06:00,-2.4,0.0,68,7.2
2018-01-01T07:00,-2.7,0.0,69,6.9
2018-01-01T08:00,-2.7,0.0,67,6.3
2018-01-01T09:00,0.2,0.0,57,8.2
2018-01-01T10:00,2.5,0.0,50,8.9
2018-01-01T11:00,4.0,0.0,37,14.1
2018-01-01T12:00,5.0,0.0,37,15.8
2018-01-01T13:00,5.6,0.0,37,16.4
2018-01-01T14:00,5.8,0.0,39,16.4
2018-01-01T15:00,5.8,0.0,38,15.9
2018-01-01T16:00,5.1,0.0,42,15.1
2018-01-01T17:00,3.6,0.0,48,10.1
2018-01-01T18:00,1.1,0.0,58,5.8
2018-01-01T19:00,-0.7,0.0,67,5.2
2018-01-01T20:00,-1.1,0.0,69,5.5
2018-01-01T21:00,-0.2,0.0,57,13.7
2018-01-01T22:00,-0.0,0.0,57,12.6
2018-01-01T23:00,-0.6,0.0,60,12.5
2018-01-02T00:00,-1.0,0.0,63,12.6
2018-01-02T01:00,-1.2,0.0,63,12.5
2018-01-02T02:00,-1.4,0.0,65,12.2
2018-01-02T03:00,-1.5,0.0,66,12.5
2018-01-02T04:00,-1.7,0.0,67,12.0
2018-01-02T05:00,-2.1,0.0,69,11.5
2018-01-02T06:00,-2.4,0.0,70,10.7
2018-01-02T07:00,-2.6,0.0,71,10.7
2018-01-02T08:00,-2.3,0.0,71,11.2
2018-01-02T09:00,0.9,0.0,56,11.0
2018-01-02T10:00,4.2,0.0,43,7.6
2018-01-02T11:00,6.1,0.0,45,11.1
2018-01-02T12:00,7.6,0.0,43,16.4
2018-01-02T13:00,8.1,0.0,42,15.8
2018-01-02T14:00,8.8,0.0,39,16.8
2018-01-02T15:00,8.1,0.0,44,17.3
2018-01-02T16:00,7.2,0.0,49,14.3
2018-01-02T17:00,5.5,0.0,60,9.7
2018-01-02T18:00,3.8,0.0,73,9.3
2018-01-02T19:00,3.2,0.0,81,7.0
2018-01-02T20:00,1.6,0.0,88,6.8
