date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
2018-01-01 00:00:00,3.42,3.46,0.0,0.0,0.703,1.0,0,Weekday,Monday,Light_Load
2018-01-01 00:15:00,3.17,2.95,0.0,0.0,0.7321,1.0,900,Weekday,Monday,Light_Load
2018-01-01 00:30:00,4.0,4.46,0.0,0.0,0.6677,1.0,1800,Weekday,Monday,Light_Load
2018-01-01 00:45:00,3.24,3.28,0.0,0.0,0.7028,1.0,2700,Weekday,Monday,Light_Load
2018-01-01 01:00:00,3.31,3.56,0.0,0.0,0.6809000000000001,1.0,3600,Weekday,Monday,Light_Load
2018-01-01 01:15:00,3.82,4.5,0.0,0.0,0.6472,1.0,4500,Weekday,Monday,Light_Load
2018-01-01 01:30:00,3.28,3.56,0.0,0.0,0.6776000000000001,1.0,5400,Weekday,Monday,Light_Load
2018-01-01 01:45:00,3.6,4.14,0.0,0.0,0.6562,1.0,6300,Weekday,Monday,Light_Load
2018-01-01 02:00:00,3.6,4.28,0.0,0.0,0.6437,1.0,7200,Weekday,Monday,Light_Load
2018-01-01 02:15:00,3.28,3.64,0.0,0.0,0.6694,1.0,8100,Weekday,Monday,Light_Load
2018-01-01 02:30:00,3.78,4.72,0.0,0.0,0.6251,1.0,9000,Weekday,Monday,Light_Load
2018-01-01 02:45:00,3.46,4.03,0.0,0.0,0.6514,1.0,9900,Weekday,Monday,Light_Load
2018-01-01 03:00:00,3.24,3.64,0.0,0.0,0.6648999999999999,1.0,10800,Weekday,Monday,Light_Load
2018-01-01 03:15:00,3.96,4.97,0.0,0.0,0.6232,1.0,11700,Weekday,Monday,Light_Load
2018-01-01 03:30:00,3.31,3.74,0.0,0.0,0.6627,1.0,12600,Weekday,Monday,Light_Load
2018-01-01 03:45:00,3.31,3.85,0.0,0.0,0.6518999999999999,1.0,13500,Weekday,Monday,Light_Load
2018-01-01 04:00:00,3.89,5.0,0.0,0.0,0.614,1.0,14400,Weekday,Monday,Light_Load
2018-01-01 04:15:00,3.28,3.82,0.0,0.0,0.6514,1.0,15300,Weekday,Monday,Light_Load
2018-01-01 04:30:00,3.56,4.28,0.0,0.0,0.6395000000000001,1.0,16200,Weekday,Monday,Light_Load
2018-01-01 04:45:00,3.74,4.54,0.0,0.0,0.6358,1.0,17100,Weekday,Monday,Light_Load
2018-01-01 05:00:00,3.31,3.6,0.0,0.0,0.6768000000000001,1.0,18000,Weekday,Monday,Light_Load
2018-01-01 05:15:00,3.56,4.07,0.0,0.0,0.6584,1.0,18900,Weekday,Monday,Light_Load
2018-01-01 05:30:00,3.56,4.1,0.0,0.0,0.6556000000000001,1.0,19800,Weekday,Monday,Light_Load
2018-01-01 05:45:00,3.28,3.49,0.0,0.0,0.6848000000000001,1.0,20700,Weekday,Monday,Light_Load
2018-01-01 06:00:00,3.78,4.32,0.0,0.0,0.6585,1.0,21600,Weekday,Monday,Light_Load
2018-01-01 06:15:00,3.35,3.64,0.0,0.0,0.6772,1.0,22500,Weekday,Monday,Light_Load
2018-01-01 06:30:00,3.24,3.35,0.0,0.0,0.6951999999999999,1.0,23400,Weekday,Monday,Light_Load
2018-01-01 06:45:00,3.89,4.46,0.0,0.0,0.6573,1.0,24300,Weekday,Monday,Light_Load
2018-01-01 07:00:00,3.31,3.53,0.0,0.0,0.684,1.0,25200,Weekday,Monday,Light_Load
2018-01-01 07:15:00,3.28,3.49,0.0,0.0,0.6848000000000001,1.0,26100,Weekday,Monday,Light_Load
2018-01-01 07:30:00,3.85,4.75,0.0,0.0,0.6297,1.0,27000,Weekday,Monday,Light_Load
2018-01-01 07:45:00,3.2,3.6,0.0,0.0,0.6644,1.0,27900,Weekday,Monday,Light_Load
2018-01-01 08:00:00,3.31,3.78,0.0,0.0,0.6587999999999999,1.0,28800,Weekday,Monday,Light_Load
2018-01-01 08:15:00,3.78,4.75,0.0,0.0,0.6227,1.0,29700,Weekday,Monday,Light_Load
2018-01-01 08:30:00,3.28,3.74,0.0,0.0,0.6594,1.0,30600,Weekday,Monday,Light_Load
2018-01-01 08:45:00,3.49,4.46,0.18,0.0,0.6163000000000001,0.9987,31500,Weekday,Monday,Light_Load
2018-01-01 09:00:00,3.89,0.0,15.66,0.0,1.0,0.24109999999999998,32400,Weekday,Monday,Light_Load
2018-01-01 09:15:00,3.6,0.0,16.96,0.0,1.0,0.2076,33300,Weekday,Monday,Light_Load
2018-01-01 09:30:00,4.03,0.0,21.28,0.0,1.0,0.1861,34200,Weekday,Monday,Light_Load
2018-01-01 09:45:00,3.92,0.0,19.22,0.0,1.0,0.1998,35100,Weekday,Monday,Light_Load
2018-01-01 10:00:00,3.64,0.0,16.88,0.0,1.0,0.2108,36000,Weekday,Monday,Light_Load
2018-01-01 10:15:00,4.07,0.0,22.32,0.0,1.0,0.1794,36900,Weekday,Monday,Light_Load
2018-01-01 10:30:00,3.71,0.0,18.0,0.0,1.0,0.20190000000000002,37800,Weekday,Monday,Light_Load
2018-01-01 10:45:00,3.6,0.0,16.92,0.0,1.0,0.20809999999999998,38700,Weekday,Monday,Light_Load
2018-01-01 11:00:00,4.21,0.0,23.4,0.0,1.0,0.1771,39600,Weekday,Monday,Light_Load
2018-01-01 11:15:00,3.49,0.0,5.65,0.0,1.0,0.5255,40500,Weekday,Monday,Light_Load
2018-01-01 11:30:00,3.46,0.0,4.82,0.0,1.0,0.5831000000000001,41400,Weekday,Monday,Light_Load
2018-01-01 11:45:00,4.0,0.0,6.7,0.0,1.0,0.5126,42300,Weekday,Monday,Light_Load
2018-01-01 12:00:00,3.49,0.0,4.57,0.0,1.0,0.6069,43200,Weekday,Monday,Light_Load
2018-01-01 12:15:00,3.6,0.0,12.89,0.0,1.0,0.26899999999999996,44100,Weekday,Monday,Light_Load
2018-01-01 12:30:00,4.25,0.0,23.15,0.0,1.0,0.18059999999999998,45000,Weekday,Monday,Light_Load
2018-01-01 12:45:00,3.67,0.0,16.67,0.0,1.0,0.215,45900,Weekday,Monday,Light_Load
2018-01-01 13:00:00,3.67,0.0,16.63,0.0,1.0,0.2155,46800,Weekday,Monday,Light_Load
2018-01-01 13:15:00,4.25,0.0,23.33,0.0,1.0,0.17920000000000003,47700,Weekday,Monday,Light_Load
2018-01-01 13:30:00,3.64,0.0,16.74,0.0,1.0,0.2125,48600,Weekday,Monday,Light_Load
2018-01-01 13:45:00,3.67,0.0,16.99,0.0,1.0,0.21109999999999998,49500,Weekday,Monday,Light_Load
2018-01-01 14:00:00,4.28,0.0,23.4,0.0,1.0,0.17989999999999998,50400,Weekday,Monday,Light_Load
2018-01-01 14:15:00,3.64,0.0,16.67,0.0,1.0,0.2133,51300,Weekday,Monday,Light_Load
2018-01-01 14:30:00,3.78,0.0,18.25,0.0,1.0,0.2028,52200,Weekday,Monday,Light_Load
2018-01-01 14:45:00,4.1,0.0,22.1,0.0,1.0,0.18239999999999998,53100,Weekday,Monday,Light_Load
2018-01-01 15:00:00,3.64,0.0,16.7,0.0,1.0,0.213,54000,Weekday,Monday,Light_Load
2018-01-01 15:15:00,3.92,0.0,19.33,0.0,1.0,0.19870000000000002,54900,Weekday,Monday,Light_Load
2018-01-01 15:30:00,4.1,0.0,21.35,0.0,1.0,0.1886,55800,Weekday,Monday,Light_Load
2018-01-01 15:45:00,3.6,0.0,16.81,0.0,1.0,0.2094,56700,Weekday,Monday,Light_Load
2018-01-01 16:00:00,3.96,0.0,20.45,0.0,1.0,0.19010000000000002,57600,Weekday,Monday,Light_Load
2018-01-01 16:15:00,4.0,0.0,20.77,0.0,1.0,0.1891,58500,Weekday,Monday,Light_Load
2018-01-01 16:30:00,3.6,0.0,16.81,0.0,1.0,0.2094,59400,Weekday,Monday,Light_Load
2018-01-01 16:45:00,4.07,0.0,21.64,0.0,1.0,0.1848,60300,Weekday,Monday,Light_Load
2018-01-01 17:00:00,3.82,0.0,19.19,0.0,1.0,0.19519999999999998,61200,Weekday,Monday,Light_Load
2018-01-01 17:15:00,3.56,0.0,16.96,0.0,1.0,0.2054,62100,Weekday,Monday,Light_Load
2018-01-01 17:30:00,4.1,0.0,23.51,0.0,1.0,0.1718,63000,Weekday,Monday,Light_Load
2018-01-01 17:45:00,3.6,0.0,17.39,0.0,1.0,0.2027,63900,Weekday,Monday,Light_Load
2018-01-01 18:00:00,3.6,0.0,17.35,0.0,1.0,0.2032,64800,Weekday,Monday,Light_Load
2018-01-01 18:15:00,4.0,0.0,8.96,0.0,1.0,0.4077,65700,Weekday,Monday,Light_Load
2018-01-01 18:30:00,3.42,0.0,5.47,0.0,1.0,0.5301,66600,Weekday,Monday,Light_Load
2018-01-01 18:45:00,3.67,0.0,16.24,0.0,1.0,0.22039999999999998,67500,Weekday,Monday,Light_Load
2018-01-01 19:00:00,4.07,0.0,22.57,0.0,1.0,0.1775,68400,Weekday,Monday,Light_Load
2018-01-01 19:15:00,3.53,0.0,17.39,0.0,1.0,0.1989,69300,Weekday,Monday,Light_Load
2018-01-01 19:30:00,3.85,0.0,20.74,0.0,1.0,0.1825,70200,Weekday,Monday,Light_Load
2018-01-01 19:45:00,3.96,0.0,20.88,0.0,1.0,0.1863,71100,Weekday,Monday,Light_Load
2018-01-01 20:00:00,3.56,0.0,17.35,0.0,1.0,0.201,72000,Weekday,Monday,Light_Load
2018-01-01 20:15:00,4.03,0.0,22.54,0.0,1.0,0.17600000000000002,72900,Weekday,Monday,Light_Load
2018-01-01 20:30:00,3.74,0.0,19.55,0.0,1.0,0.18789999999999998,73800,Weekday,Monday,Light_Load
2018-01-01 20:45:00,3.56,0.0,17.42,0.0,1.0,0.2002,74700,Weekday,Monday,Light_Load
2018-01-01 21:00:00,4.21,0.0,24.26,0.0,1.0,0.171,75600,Weekday,Monday,Light_Load
2018-01-01 21:15:00,3.56,0.0,17.75,0.0,1.0,0.1966,76500,Weekday,Monday,Light_Load
2018-01-01 21:30:00,3.53,0.0,17.42,0.0,1.0,0.1986,77400,Weekday,Monday,Light_Load
2018-01-01 21:45:00,4.25,0.0,25.2,0.0,1.0,0.1663,78300,Weekday,Monday,Light_Load
