feature_name,group,description_vi,description_en,dtype,unit,formula_or_source,range_or_notes
date,A. Temporal Identifier,Thờ điểm ghi nhận mẫu,Timestamp of the observation,datetime,—,—,15 min resolution; 2018-01-01 00:00 to 2018-12-31 23:45
Usage_kWh,B. Raw Electrical (SCADA),Công suất tác dụng (Active Power P),Active power consumption,float64,kWh,SCADA measurement,"[0, 157.18]; target variable for derived features"
Lagging_Current_Reactive.Power_kVarh,B. Raw Electrical (SCADA),Công suất phản kháng trễ Q_lag,Lagging reactive power,float64,kVArh,SCADA measurement,"[0, 96.91]; dominant inductive load in steel plants"
Leading_Current_Reactive_Power_kVarh,B. Raw Electrical (SCADA),Công suất phản kháng siêu trước Q_lead,Leading reactive power,float64,kVArh,SCADA measurement,"[0, 27.76]; mostly ≈ 0"
CO2(tCO2),B. Raw Electrical (SCADA),Lượng CO₂ phát thải tương đương,Equivalent CO₂ emissions,float64,tCO₂,Emission factor × energy,"[0, 0.07]; only 8 unique values; low resolution"
Lagging_Current_Power_Factor,B. Raw Electrical (SCADA),Hệ số công suất trễ PF_lag,Lagging power factor,float64,—,"SCADA; scaled from % to [0,1]","[0, 1]; originally reported as 0-100%"
Leading_Current_Power_Factor,B. Raw Electrical (SCADA),Hệ số công suất siêu trước PF_lead,Leading power factor,float64,—,"SCADA; scaled from % to [0,1]","[0, 1]; originally reported as 0-100%"
NSM,C. Calendar & Operational,Number of Seconds from Midnight,Seconds from midnight,int64,s,Derived from date,"[0, 85500]; step 900 s; 96 unique/day"
WeekStatus,C. Calendar & Operational,Ngày trong tuần hay cuối tuần,Weekday or weekend,object,—,Derived from date,"{Weekday, Weekend}"
Day_of_week,C. Calendar & Operational,Thứ trong tuần,Day of week,object,—,Derived from date,"{Monday,...,Sunday}"
Load_Type,C. Calendar & Operational,Phân loại chế độ vận hành tải,Operational load classification,object,—,Original dataset,"{Light_Load, Medium_Load, Maximum_Load}"
temperature_2m,D. Weather Raw,Nhiệt độ không khí 2m,Air temperature at 2m,float64,°C,Open-Meteo API; interpolated 1h→15min,"[-10.6, 35.7]"
precipitation,D. Weather Raw,Lượng mưa,Precipitation,float64,mm,Open-Meteo API; interpolated 1h→15min,"[0, 44.0]"
relative_humidity_2m,D. Weather Raw,Độ ẩm tương đối,Relative humidity,float64,%,Open-Meteo API; interpolated 1h→15min,"[6, 100]"
windspeed_10m,D. Weather Raw,Tốc độ gió 10m,Wind speed at 10m,float64,km/h,Open-Meteo API; interpolated 1h→15min,"[0, 42.2]"
temp_rolling_24h,E. Weather Derived,Nhiệt độ trung bình 24 giờ,24-hour rolling mean temperature,float64,°C,"rolling(temperature_2m, 96)",Smooths day-night fluctuations
temp_diff_24h,E. Weather Derived,Chênh lệch nhiệt so với cùng giờ hôm trước,24-hour temperature difference,float64,°C,"diff(temperature_2m, 96)",First 96 points ffill→0
heat_index,E. Weather Derived,Chỉ số nhiệt cảm nhận,Heat index (feels-like temperature),float64,°C,Rothfusz formula (NOAA),If T<26.7°C or RH<40% → HI=T
is_extreme_hot,E. Weather Derived,Cờ nhiệt độ cực cao,Extreme heat flag,int64,—,"1_{T > P95}, P95 from full-year distribution","{0, 1}; P95 ≈ 30.9°C"
is_extreme_cold,E. Weather Derived,Cờ nhiệt độ cực thấp,Extreme cold flag,int64,—,"1_{T < P05}, P05 from full-year distribution","{0, 1}; P05 ≈ -3.4°C"
humidity_x_temp,E. Weather Derived,Tương tác nhiệt-ẩm,Humidity-temperature interaction,float64,%·°C,RH × T,Proxy for cooling load / enthalpy
windspeed_rolling_6h,E. Weather Derived,Tốc độ gió trung bình 6 giờ,6-hour rolling mean wind speed,float64,km/h,"rolling(windspeed_10m, 24)",24 steps = 6h @ 15min
Usage_kWh_lag_1,F. Time-Domain Lag,Tiêu thụ 15 phút trước,Usage 15 min ago,float64,kWh,"shift(Usage_kWh, 1)",1 NaN at start; zero leakage
