task,track,config,n_train,n_test,n_features,mae,rmse,r2,train_positive_rate,test_positive_rate,pr_auc,f1,precision,recall,balanced_accuracy,roc_auc,fold
forecast_usage_t_plus_1h,full,A0_raw_context,28028,7008,9,6.7040977525924825,13.011868070899059,0.8279729246906417,,,,,,,,,
forecast_usage_t_plus_1h,full,A1_time,28028,7008,24,6.197559863982352,12.008684274779403,0.8534761380800374,,,,,,,,,
forecast_usage_t_plus_1h,full,A2_time_weather,28028,7008,35,6.456499467424184,12.258487771229692,0.8473167837964312,,,,,,,,,
forecast_usage_t_plus_1h,full,A3_time_weather_wavelet,28028,7008,51,6.36763166520644,12.198799701804148,0.8488000302674866,,,,,,,,,
forecast_usage_t_plus_1h,full,A4_all_engineered,28028,7008,58,6.39560234379533,12.115418760449572,0.8508599230300403,,,,,,,,,
classify_proxy_anomaly_any,full,A0_raw_context,28032,7008,9,,,,0.08486729452054795,0.0012842465753424657,0.009355032652967853,0.011124845488257108,0.005593536357986327,1.0,0.8856979568509786,0.927656331856932,
classify_proxy_anomaly_any_cv,full,A0_raw_context,5840,5840,9,,,,0.40273972602739727,0.0011986301369863014,0.01529767649268974,0.009283819628647215,0.004663557628247834,1.0,0.8719355391736671,0.9585119149665695,1.0
classify_proxy_anomaly_any_cv,full,A0_raw_context,11680,5840,9,,,,0.20196917808219178,0.0010273972602739725,0.5244740376647867,0.042735042735042736,0.021929824561403508,0.8333333333333334,0.8975545651925494,0.9290938178493886,2.0
classify_proxy_anomaly_any_cv,full,A0_raw_context,17520,5840,9,,,,0.13498858447488585,0.0006849315068493151,0.2564065445851639,0.01818181818181818,0.009259259259259259,0.5,0.731665524331734,0.8478195681973955,3.0
classify_proxy_anomaly_any_cv,full,A0_raw_context,23360,5840,9,,,,0.10141267123287671,0.002054794520547945,0.1796010466302413,0.045454545454545456,0.02403846153846154,0.4166666666666667,0.6909174102036147,0.8656628917867765,4.0
classify_proxy_anomaly_any_cv,full,A0_raw_context,29200,5840,9,,,,0.08154109589041096,0.0011986301369863014,0.012365970194091365,0.0092899800928998,0.004666666666666667,1.0,0.8720212583576205,0.9446743895569543,5.0
classify_proxy_anomaly_any,full,A1_time,28032,7008,24,,,,0.08486729452054795,0.0012842465753424657,0.05178586904475561,0.04428044280442804,0.022900763358778626,0.6666666666666666,0.8150450064294898,0.974551920115572,
classify_proxy_anomaly_any_cv,full,A1_time,5840,5840,24,,,,0.40273972602739727,0.0011986301369863014,0.003790989213737112,0.009009009009009009,0.004533091568449683,0.7142857142857143,0.7630231931620582,0.8308148220714653,1.0
classify_proxy_anomaly_any_cv,full,A1_time,11680,5840,24,,,,0.20196917808219178,0.0010273972602739725,0.037805384700202546,0.09523809523809523,0.05128205128205128,0.6666666666666666,0.8269912010055993,0.9070106273568735,2.0
classify_proxy_anomaly_any_cv,full,A1_time,17520,5840,24,,,,0.13498858447488585,0.0006849315068493151,0.26248242886617307,0.06896551724137931,0.037037037037037035,0.5,0.7455448937628513,0.8239804660726525,3.0
classify_proxy_anomaly_any_cv,full,A1_time,23360,5840,24,,,,0.10141267123287671,0.002054794520547945,0.19510365512243105,0.17777777777777778,0.12121212121212122,0.3333333333333333,0.6641786776481354,0.8956617478837794,4.0
classify_proxy_anomaly_any_cv,full,A1_time,29200,5840,24,,,,0.08154109589041096,0.0011986301369863014,0.25065218559916125,0.046875,0.024096385542168676,0.8571428571428571,0.9077416668707599,0.9890769268447993,5.0
classify_proxy_anomaly_any,full,A2_time_weather,28032,7008,35,,,,0.08486729452054795,0.0012842465753424657,0.013584053748001557,0.03309692671394799,0.016908212560386472,0.7777777777777778,0.8598133066628566,0.9467542982330809,
classify_proxy_anomaly_any_cv,full,A2_time_weather,5840,5840,35,,,,0.40273972602739727,0.0011986301369863014,0.0042654175217133015,0.01060070671378092,0.005333333333333333,0.8571428571428571,0.832651661727609,0.8488158507016728,1.0
classify_proxy_anomaly_any_cv,full,A2_time_weather,11680,5840,35,,,,0.20196917808219178,0.0010273972602739725,0.8335056283023201,0.9090909090909091,1.0,0.8333333333333334,0.9166666666666667,0.8344189235515942,2.0
classify_proxy_anomaly_any_cv,full,A2_time_weather,17520,5840,35,,,,0.13498858447488585,0.0006849315068493151,0.5763071895424836,0.6666666666666666,1.0,0.5,0.75,0.9671007539410555,3.0
classify_proxy_anomaly_any_cv,full,A2_time_weather,23360,5840,35,,,,0.10141267123287671,0.002054794520547945,0.39470025111241264,0.5,0.625,0.4166666666666667,0.7080759551590026,0.9255533630748112,4.0
classify_proxy_anomaly_any_cv,full,A2_time_weather,29200,5840,35,,,,0.08154109589041096,0.0011986301369863014,0.012195156048212067,0.029850746268656716,0.015151515151515152,1.0,0.9609977713012172,0.9483725600646568,5.0
classify_proxy_anomaly_any,full,A3_time_weather_wavelet,28032,7008,51,,,,0.08486729452054795,0.0012842465753424657,0.012601806905626576,0.03189066059225513,0.01627906976744186,0.7777777777777778,0.8586702862313664,0.945436649680113,
classify_proxy_anomaly_any_cv,full,A3_time_weather_wavelet,5840,5840,51,,,,0.40273972602739727,0.0011986301369863014,0.003594546273774267,0.007401924500370096,0.003720238095238095,0.7142857142857143,0.7423648698292964,0.8219735005265607,1.0
classify_proxy_anomaly_any_cv,full,A3_time_weather_wavelet,11680,5840,51,,,,0.20196917808219178,0.0010273972602739725,0.7308981386319515,0.7272727272727273,0.8,0.6666666666666666,0.833247628842418,0.9167238029939437,2.0
classify_proxy_anomaly_any_cv,full,A3_time_weather_wavelet,17520,5840,51,,,,0.13498858447488585,0.0006849315068493151,0.575734214390602,0.6666666666666666,1.0,0.5,0.75,0.9415267306374229,3.0
